orb,hours_since_l4,n,win_rate,expectancy,random_exp,edge,beats_random
0900,2.0,90,0.5777777777777777,0.7317822730552608,0.4650095859854399,0.2667726870698209,True
1000,3.0,90,0.6444444444444445,0.9256481295236197,0.49232364619755153,0.4333244833260682,True
1100,4.0,90,0.5444444444444444,0.8215629824506858,0.6716853112553558,0.14987767119533002,True
1800,11.0,90,0.4777777777777778,0.4848224078174866,0.5519488384820647,-0.06712643066457807,False
2300,16.0,90,0.4888888888888889,0.6138975913081647,0.6412861580645014,-0.02738856675633672,False
0030,17.5,90,0.4111111111111111,0.36738225887606196,0.6604207265488474,-0.29303846767278546,False
