pattern,trigger,n,win_rate,expectancy,random_exp,edge,status,validation_status
asia_compressed,1800_orb,173,54.33526011560693,0.42136789272308156,0.36710073603066024,0.054267156692421326,BEATS RANDOM,INSUFFICIENT_DATA
london_compressed,1800_orb,167,46.706586826347305,0.21478787064974786,0.39427436417807377,-0.1794864935283259,FAILS,
multi_compressed,0900_orb,96,38.54166666666667,-0.1270362298587169,0.31643638213104625,-0.4434726119897632,FAILS,
multi_compressed,1000_orb,96,43.75,-0.05219877509961792,0.1640924639784465,-0.21629123907806444,FAILS,
multi_compressed,1100_orb,96,51.041666666666664,0.34897704499395515,0.40253389642142795,-0.053556851427472796,FAILS,
l4_proven,1000_orb,90,64.44444444444444,0.9256481295236197,0.6717325227963534,0.2539156067272663,BASELINE,
